Date,TempMax,TempAvg,TempMin,DewPointMax,DewPointAvg,DewPointMin,HumidMax,HumidAvg,HumidMin,SeaLevelPressureMax,SeaLevelPressureAvg,SeaLevelPressureMin,VisibilityMax,VisibilityAvg,VisibilityMin,WindMax,WindAvg,Precip,Events
2018-01-01,6,4,4,6,3,2,100,87,69,1009,1003,996,31,11,3,39,31,7.87,Rain
2018-01-02,6,4,3,5,3,2,100,91,79,1016,1011,1005,26,10,2,32,24,0.25,Rain
2018-01-03,8,7,5,11,5,2,100,87,71,1005,999,991,11,6,0,52,34,4.06,"Fog	,Rain"
2018-01-04,12,8,4,11,7,3,100,92,67,1004,998,996,26,6,0,40,21,11.94,"Fog	,Rain"
2018-01-05,7,6,5,7,6,3,100,93,70,1003,1000,999,19,10,2,35,24,1.02,Rain
2018-01-06,7,6,4,7,6,4,100,98,91,1013,1007,1003,21,7,0,26,11,4.06,"Fog	,Rain"
2018-01-07,4,3,3,5,3,2,100,92,86,1022,1017,1012,31,14,10,40,31,0.00,Rain
2018-01-08,4,3,3,3,2,2,100,90,80,1022,1019,1014,31,12,10,27,21,0.00,
2018-01-09,8,4,1,5,3,1,100,91,84,1016,1011,1010,14,10,6,21,14,0.00,Rain
2018-01-10,6,5,4,6,5,4,100,97,85,1012,1010,1008,18,7,2,19,14,0.00,Rain
2018-01-11,7,6,4,6,5,4,100,96,87,1022,1015,1010,14,5,0,14,6,0.25,"Fog	,Rain"
2018-01-12,6,5,3,5,4,3,100,92,83,1026,1024,1021,11,6,3,18,11,0.00,
2018-01-13,4,3,2,3,1,0,100,86,73,1027,1023,1019,31,11,2,21,11,0.00,
2018-01-14,4,1,-1,1,-1,-2,100,87,72,1022,1019,1018,19,10,7,18,11,0.00,
2018-01-15,6,2,-2,6,1,-2,100,93,77,1022,1010,997,26,7,3,37,14,5.08,Rain
2018-01-16,6,3,0,5,3,0,100,89,78,1000,998,995,31,12,1,39,29,6.10,"Rain	,Snow"
2018-01-17,3,1,0,1,0,-1,100,88,71,1013,1005,995,31,11,1,37,24,0.76,"Rain	,Snow"
2018-01-18,9,4,1,7,2,0,100,83,42,1013,1004,999,31,11,2,52,29,4.06,"Rain	,Snow"
2018-01-19,3,2,1,2,1,0,100,90,78,1014,1009,1004,31,12,8,27,21,0.00,"Rain	,Snow"
2018-01-20,1,0,-1,1,1,0,100,99,91,1014,1004,997,14,4,0,21,14,7.87,"Fog	,Rain	,Snow"
2018-01-21,3,1,0,1,0,-1,100,92,77,1019,1013,1002,31,10,2,19,13,3.05,"Rain	,Snow"
2018-01-22,8,4,0,8,4,0,100,97,87,1021,1011,1007,23,7,0,29,14,4.06,"Fog	,Rain	,Snow"
2018-01-23,7,6,4,7,4,3,100,92,77,1026,1023,1020,26,9,2,23,14,0.25,Rain
2018-01-24,9,8,6,9,8,7,100,95,84,1024,1020,1015,31,6,0,27,19,0.25,"Fog	,Rain"
2018-01-25,8,7,5,8,7,5,100,96,78,1016,1014,1012,31,8,3,27,18,19.05,Rain
2018-01-26,7,4,2,6,4,2,100,96,85,1027,1018,1013,31,9,1,14,10,0.00,"Fog	,Rain"
2018-01-27,3,0,-2,3,1,-2,100,99,93,1034,1031,1026,14,3,0,23,10,0.00,Fog
2018-01-28,6,3,1,6,4,2,100,98,93,1036,1034,1031,13,5,0,24,19,0.00,"Fog	,Rain"
2018-01-29,8,7,6,7,7,6,100,94,83,1035,1030,1027,31,9,3,32,21,0.51,Rain
2018-01-30,8,4,2,7,5,2,100,94,80,1032,1028,1022,26,10,3,23,11,1.02,Rain
2018-01-31,6,4,2,7,5,2,100,97,92,1023,1011,1002,19,6,0,34,23,7.87,Rain
2018-02-01,3,1,-1,2,1,-1,100,93,86,1007,1003,1001,31,13,3,24,16,0.00,"Rain	,Snow	,Hail"
2018-02-02,2,1,-1,2,0,-2,100,96,87,1010,1006,1004,19,9,4,26,10,0.76,"Fog	,Rain	,Snow"
2018-02-03,3,1,-1,0,-1,-2,100,91,67,1010,1007,1005,31,8,1,23,10,2.03,Snow
2018-02-04,-1,-2,-3,0,-3,-6,100,88,65,1023,1015,1008,31,8,1,26,6,0.00,"Rain	,Snow"
2018-02-05,2,-1,-3,-2,-3,-4,93,82,62,1024,1020,1016,26,12,5,32,23,0.00,Snow
2018-02-06,-1,-2,-3,-1,-2,-4,100,97,81,1017,1011,1008,21,2,0,24,16,0.25,Snow
2018-02-07,0,-2,-5,-2,-3,-5,100,90,78,1019,1013,1010,6,4,3,23,16,0.00,Snow
2018-02-08,1,-3,-6,-5,-7,-9,97,76,37,1022,1019,1017,10,6,3,18,10,0.00,
2018-02-09,-1,-3,-6,-1,-4,-8,100,92,67,1021,1015,1012,8,4,1,21,8,0.00,"Rain	,Snow"
2018-02-10,1,-1,-2,0,-1,-3,100,95,80,1019,1016,1012,19,7,0,24,13,0.00,"Fog	,Snow"
2018-02-11,3,0,-2,2,0,-2,100,95,84,1015,1007,1004,31,8,1,26,19,0.76,"Rain	,Snow"
2018-02-12,2,0,-3,0,-2,-5,100,84,59,1020,1014,1008,31,15,2,26,18,0.25,Snow
2018-02-13,2,-1,-5,-3,-6,-8,100,74,39,1020,1013,1008,31,16,10,24,11,0.00,
2018-02-14,3,-1,-6,-3,-6,-9,80,66,47,1018,1014,1010,31,18,10,19,11,0.00,
2018-02-15,5,2,-1,5,1,-5,100,92,55,1020,1014,1011,31,4,0,24,14,2.03,"Fog	,Rain	,Snow"
2018-02-16,7,3,-1,4,1,-2,100,82,57,1028,1024,1019,31,10,0,16,10,0.00,Fog
2018-02-17,3,1,-2,0,-1,-3,93,82,64,1027,1021,1018,31,13,7,23,16,0.00,"Rain	,Snow"
2018-02-18,3,0,-4,-1,-2,-4,100,86,58,1029,1025,1022,14,7,3,11,5,0.00,Fog
2018-02-19,1,-2,-4,-3,-3,-4,93,82,66,1025,1019,1015,19,9,6,11,5,0.00,
2018-02-20,3,0,-3,-2,-3,-4,86,76,53,1020,1016,1015,14,7,3,19,8,0.00,
2018-02-21,5,1,-3,-3,-5,-8,86,66,28,1024,1020,1018,10,7,3,29,19,0.00,
2018-02-22,3,-1,-4,-6,-8,-9,80,59,31,1022,1018,1016,26,15,9,40,26,0.00,
2018-02-28,-4,-8,-12,-15,-16,-17,73,51,22,1020,1014,1007,31,16,10,29,19,0.00,
2018-03-01,-1,-4,-8,-12,-14,-16,63,45,25,1011,1002,996,23,12,2,27,21,0.00,Snow
2018-03-02,-4,-4,-5,-4,-8,-13,100,73,28,999,995,991,23,6,1,26,16,2.03,"Rain	,Snow"
2018-03-03,1,-2,-5,0,-2,-4,100,98,86,1000,996,993,3,1,0,18,10,0.51,"Fog	,Snow"
